urn:cts:greekLit:tlg5026.msA.hmt:1.129	urn:cite:hmt:pers.pers97
urn:cts:greekLit:tlg5026.msA.hmt:1.130	urn:cite:hmt:pers.pers15
urn:cts:greekLit:tlg5026.msA.hmt:1.131	urn:cite:hmt:pers.pers16
urn:cts:greekLit:tlg5026.msA.hmt:1.131	urn:cite:hmt:pers.pers77
urn:cts:greekLit:tlg5026.msA.hmt:1.132	urn:cite:hmt:pers.pers98
urn:cts:greekLit:tlg5026.msA.hmt:1.132	urn:cite:hmt:pers.pers98
urn:cts:greekLit:tlg5026.msA.hmt:1.132	urn:cite:hmt:pers.pers17
urn:cts:greekLit:tlg5026.msA.hmt:1.132	urn:cite:hmt:pers.pers17
urn:cts:greekLit:tlg5026.msA.hmt:1.133	urn:cite:hmt:pers.pers16
urn:cts:greekLit:tlg5026.msA.hmt:1.411	urn:cite:hmt:pers.pers99
urn:cts:greekLit:tlg5026.msA.hmt:1.411	urn:cite:hmt:pers.pers100
urn:cts:greekLit:tlg5026.msA.hmt:1.411	urn:cite:hmt:pers.pers101
urn:cts:greekLit:tlg5026.msA.hmt:1.411	urn:cite:hmt:pers.pers102
urn:cts:greekLit:tlg5026.msA.hmt:1.411	urn:cite:hmt:pers.pers103
urn:cts:greekLit:tlg5026.msA.hmt:1.411	urn:cite:hmt:pers.pers8
urn:cts:greekLit:tlg5026.msA.hmt:1.411	urn:cite:hmt:pers.pers99
urn:cts:greekLit:tlg5026.msA.hmt:1.411	urn:cite:hmt:pers.pers100
urn:cts:greekLit:tlg5026.msA.hmt:1.411	urn:cite:hmt:pers.pers101
urn:cts:greekLit:tlg5026.msA.hmt:1.412	urn:cite:hmt:pers.pers8
urn:cts:greekLit:tlg5026.msA.hmt:1.412	urn:cite:hmt:pers.pers100
urn:cts:greekLit:tlg5026.msA.hmt:1.412	urn:cite:hmt:pers.pers8
urn:cts:greekLit:tlg5026.msA.hmt:1.412	urn:cite:hmt:pers.pers8
urn:cts:greekLit:tlg5026.msA.hmt:1.412	urn:cite:hmt:pers.pers104
urn:cts:greekLit:tlg5026.msA.hmt:1.412	urn:cite:hmt:pers.pers8
urn:cts:greekLit:tlg5026.msA.hmt:1.412	urn:cite:hmt:pers.pers101
urn:cts:greekLit:tlg5026.msA.hmt:1.413	urn:cite:hmt:pers.pers105
urn:cts:greekLit:tlg5026.msA.hmt:1.417	urn:cite:hmt:pers.pers15
urn:cts:greekLit:tlg5026.msA.hmt:1.417	urn:cite:hmt:pers.pers1
urn:cts:greekLit:tlg5026.msA.hmt:1.417	urn:cite:hmt:pers.pers106
urn:cts:greekLit:tlg5026.msA.hmt:1.417	urn:cite:hmt:pers.pers107
urn:cts:greekLit:tlg5026.msA.hmt:1.417	urn:cite:hmt:pers.pers75
